Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.001000	1.589212	0.455041	0.000000	0.000000	
2.000000	0.001000	0.695466	0.761126	0.000000	0.000000	
3.000000	0.001000	0.388168	0.866485	0.000000	0.000000	
4.000000	0.001000	0.248910	0.927339	0.000000	0.000000	
5.000000	0.001000	0.163533	0.947321	0.000000	0.000000	
6.000000	0.001000	0.108402	0.967302	0.000000	0.000000	
7.000000	0.001000	0.099912	0.965486	0.000000	0.000000	
8.000000	0.001000	0.087527	0.968211	0.000000	0.000000	
9.000000	0.001000	0.077236	0.979110	0.000000	0.000000	
10.000000	0.001000	0.072653	0.979110	0.000000	0.000000	
11.000000	0.001000	0.090037	0.978202	0.000000	0.000000	
12.000000	0.001000	0.059614	0.980018	0.000000	0.000000	
13.000000	0.001000	0.033513	0.987284	0.000000	0.000000	
14.000000	0.001000	0.041383	0.987284	0.000000	0.000000	
15.000000	0.001000	0.048994	0.987284	0.000000	0.000000	
16.000000	0.001000	0.048965	0.984559	0.000000	0.000000	
17.000000	0.001000	0.059029	0.985468	0.000000	0.000000	
18.000000	0.001000	0.053262	0.984559	0.000000	0.000000	
19.000000	0.001000	0.086875	0.977293	0.000000	0.000000	
20.000000	0.001000	0.044785	0.985468	0.000000	0.000000	
21.000000	0.000100	0.035299	0.991826	0.000000	0.000000	
22.000000	0.000100	0.012774	0.997275	0.000000	0.000000	
23.000000	0.000100	0.012120	0.997275	0.000000	0.000000	
24.000000	0.000100	0.021772	0.992734	0.000000	0.000000	
25.000000	0.000100	0.008734	0.999092	0.000000	0.000000	
26.000000	0.000100	0.017152	0.993642	0.000000	0.000000	
27.000000	0.000100	0.008586	0.998183	0.000000	0.000000	
28.000000	0.000100	0.008036	0.997275	0.000000	0.000000	
29.000000	0.000100	0.008079	0.997275	0.000000	0.000000	
30.000000	0.000100	0.009465	0.996367	0.000000	0.000000	
31.000000	0.000100	0.004282	1.000000	0.000000	0.000000	
32.000000	0.000100	0.007842	0.999092	0.000000	0.000000	
33.000000	0.000100	0.004384	0.998183	0.000000	0.000000	
34.000000	0.000100	0.006857	0.997275	0.000000	0.000000	
35.000000	0.000100	0.006452	0.998183	0.000000	0.000000	
36.000000	0.000100	0.004051	0.999092	0.000000	0.000000	
37.000000	0.000100	0.002968	1.000000	0.000000	0.000000	
38.000000	0.000100	0.005239	0.998183	0.000000	0.000000	
39.000000	0.000100	0.007612	0.996367	0.000000	0.000000	
40.000000	0.000100	0.004145	0.999092	0.000000	0.000000	
41.000000	0.000010	0.006091	0.997275	0.000000	0.000000	
42.000000	0.000010	0.006885	0.999092	0.000000	0.000000	
43.000000	0.000010	0.003397	1.000000	0.000000	0.000000	
44.000000	0.000010	0.008344	0.996367	0.000000	0.000000	
45.000000	0.000010	0.008403	0.998183	0.000000	0.000000	
46.000000	0.000010	0.003654	1.000000	0.000000	0.000000	
47.000000	0.000010	0.003390	0.999092	0.000000	0.000000	
48.000000	0.000010	0.007357	0.997275	0.000000	0.000000	
49.000000	0.000010	0.004298	0.999092	0.000000	0.000000	
50.000000	0.000010	0.006998	0.996367	0.000000	0.000000	
51.000000	0.000010	0.006747	0.997275	0.000000	0.000000	
52.000000	0.000010	0.006285	0.999092	0.000000	0.000000	
53.000000	0.000010	0.003499	0.999092	0.000000	0.000000	
54.000000	0.000010	0.007297	0.995459	0.000000	0.000000	
55.000000	0.000010	0.005911	0.997275	0.000000	0.000000	
56.000000	0.000010	0.002769	1.000000	0.000000	0.000000	
57.000000	0.000010	0.009245	0.997275	0.000000	0.000000	
58.000000	0.000010	0.002582	1.000000	0.000000	0.000000	
59.000000	0.000010	0.003566	0.999092	0.000000	0.000000	
60.000000	0.000010	0.007677	0.997275	0.000000	0.000000	
61.000000	0.000001	0.004794	1.000000	0.000000	0.000000	
62.000000	0.000001	0.004703	0.999092	0.000000	0.000000	
63.000000	0.000001	0.006609	0.997275	0.000000	0.000000	
64.000000	0.000001	0.003833	0.999092	0.000000	0.000000	
65.000000	0.000001	0.002268	1.000000	0.000000	0.000000	
66.000000	0.000001	0.010149	0.997275	0.000000	0.000000	
67.000000	0.000001	0.005454	0.999092	0.000000	0.000000	
68.000000	0.000001	0.002535	1.000000	0.000000	0.000000	
69.000000	0.000001	0.004161	0.999092	0.000000	0.000000	
70.000000	0.000001	0.004496	0.999092	0.000000	0.000000	
71.000000	0.000001	0.005764	0.998183	0.000000	0.000000	
72.000000	0.000001	0.005694	0.998183	0.000000	0.000000	
73.000000	0.000001	0.005127	0.998183	0.000000	0.000000	
74.000000	0.000001	0.004820	0.997275	0.000000	0.000000	
75.000000	0.000001	0.004225	0.998183	0.000000	0.000000	
76.000000	0.000001	0.003039	0.999092	0.000000	0.000000	
77.000000	0.000001	0.002731	1.000000	0.000000	0.000000	
78.000000	0.000001	0.004177	0.998183	0.000000	0.000000	
79.000000	0.000001	0.002979	1.000000	0.000000	0.000000	
80.000000	0.000001	0.006041	0.999092	0.000000	0.000000	
81.000000	0.000000	0.002241	1.000000	0.000000	0.000000	
82.000000	0.000000	0.009185	0.997275	0.000000	0.000000	
83.000000	0.000000	0.008192	0.997275	0.000000	0.000000	
84.000000	0.000000	0.007300	0.997275	0.000000	0.000000	
85.000000	0.000000	0.004500	0.999092	0.000000	0.000000	
86.000000	0.000000	0.002846	1.000000	0.000000	0.000000	
87.000000	0.000000	0.003183	1.000000	0.000000	0.000000	
88.000000	0.000000	0.004817	0.998183	0.000000	0.000000	
89.000000	0.000000	0.004920	0.998183	0.000000	0.000000	
90.000000	0.000000	0.008707	0.997275	0.000000	0.000000	
91.000000	0.000000	0.005668	0.998183	0.000000	0.000000	
92.000000	0.000000	0.002035	1.000000	0.000000	0.000000	
93.000000	0.000000	0.003913	0.998183	0.000000	0.000000	
94.000000	0.000000	0.003903	0.998183	0.000000	0.000000	
95.000000	0.000000	0.008756	0.997275	0.000000	0.000000	
96.000000	0.000000	0.002496	0.999092	0.000000	0.000000	
97.000000	0.000000	0.003608	0.999092	0.000000	0.000000	
