Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.001000	1.137269	0.566632	0.000000	0.000000	
2.000000	0.001000	0.407800	0.854145	0.000000	0.000000	
3.000000	0.001000	0.192887	0.929696	0.000000	0.000000	
4.000000	0.001000	0.131671	0.951731	0.000000	0.000000	
5.000000	0.001000	0.090835	0.965373	0.000000	0.000000	
6.000000	0.001000	0.076474	0.982162	0.000000	0.000000	
7.000000	0.001000	0.069901	0.976915	0.000000	0.000000	
8.000000	0.001000	0.069371	0.974816	0.000000	0.000000	
9.000000	0.001000	0.074246	0.974816	0.000000	0.000000	
10.000000	0.001000	0.026429	0.993704	0.000000	0.000000	
11.000000	0.001000	0.017843	0.996852	0.000000	0.000000	
12.000000	0.001000	0.022379	0.994753	0.000000	0.000000	
13.000000	0.001000	0.023493	0.993704	0.000000	0.000000	
14.000000	0.001000	0.009939	0.995803	0.000000	0.000000	
15.000000	0.001000	0.011804	0.996852	0.000000	0.000000	
16.000000	0.001000	0.031991	0.989507	0.000000	0.000000	
17.000000	0.001000	0.023956	0.990556	0.000000	0.000000	
18.000000	0.001000	0.024890	0.990556	0.000000	0.000000	
19.000000	0.001000	0.071054	0.977964	0.000000	0.000000	
20.000000	0.001000	0.031366	0.989507	0.000000	0.000000	
21.000000	0.000100	0.024052	0.995803	0.000000	0.000000	
22.000000	0.000100	0.007830	0.997901	0.000000	0.000000	
23.000000	0.000100	0.005685	0.997901	0.000000	0.000000	
24.000000	0.000100	0.009008	0.996852	0.000000	0.000000	
25.000000	0.000100	0.002362	0.998951	0.000000	0.000000	
26.000000	0.000100	0.005661	0.997901	0.000000	0.000000	
27.000000	0.000100	0.003124	0.998951	0.000000	0.000000	
28.000000	0.000100	0.006585	0.997901	0.000000	0.000000	
29.000000	0.000100	0.003369	0.998951	0.000000	0.000000	
30.000000	0.000100	0.005731	0.998951	0.000000	0.000000	
31.000000	0.000100	0.007521	0.998951	0.000000	0.000000	
32.000000	0.000100	0.003080	0.998951	0.000000	0.000000	
33.000000	0.000100	0.003213	1.000000	0.000000	0.000000	
34.000000	0.000100	0.004471	0.998951	0.000000	0.000000	
35.000000	0.000100	0.001512	1.000000	0.000000	0.000000	
36.000000	0.000100	0.001683	1.000000	0.000000	0.000000	
37.000000	0.000100	0.000736	1.000000	0.000000	0.000000	
38.000000	0.000100	0.004315	0.998951	0.000000	0.000000	
39.000000	0.000100	0.001517	1.000000	0.000000	0.000000	
40.000000	0.000100	0.003337	0.998951	0.000000	0.000000	
41.000000	0.000010	0.002666	1.000000	0.000000	0.000000	
42.000000	0.000010	0.005405	0.997901	0.000000	0.000000	
43.000000	0.000010	0.002294	0.998951	0.000000	0.000000	
44.000000	0.000010	0.007092	0.997901	0.000000	0.000000	
45.000000	0.000010	0.001367	1.000000	0.000000	0.000000	
46.000000	0.000010	0.004248	0.998951	0.000000	0.000000	
47.000000	0.000010	0.002309	0.998951	0.000000	0.000000	
48.000000	0.000010	0.003024	0.998951	0.000000	0.000000	
49.000000	0.000010	0.003583	1.000000	0.000000	0.000000	
50.000000	0.000010	0.005347	0.998951	0.000000	0.000000	
51.000000	0.000010	0.001182	1.000000	0.000000	0.000000	
52.000000	0.000010	0.002229	0.998951	0.000000	0.000000	
53.000000	0.000010	0.002830	0.998951	0.000000	0.000000	
54.000000	0.000010	0.001158	1.000000	0.000000	0.000000	
55.000000	0.000010	0.001382	1.000000	0.000000	0.000000	
56.000000	0.000010	0.002120	0.998951	0.000000	0.000000	
57.000000	0.000010	0.004730	0.997901	0.000000	0.000000	
58.000000	0.000010	0.001826	0.998951	0.000000	0.000000	
59.000000	0.000010	0.000980	1.000000	0.000000	0.000000	
60.000000	0.000010	0.001119	1.000000	0.000000	0.000000	
61.000000	0.000001	0.001830	1.000000	0.000000	0.000000	
62.000000	0.000001	0.001598	1.000000	0.000000	0.000000	
63.000000	0.000001	0.001515	1.000000	0.000000	0.000000	
64.000000	0.000001	0.002084	1.000000	0.000000	0.000000	
65.000000	0.000001	0.001804	1.000000	0.000000	0.000000	
66.000000	0.000001	0.003783	0.997901	0.000000	0.000000	
67.000000	0.000001	0.009726	0.998951	0.000000	0.000000	
68.000000	0.000001	0.004776	0.998951	0.000000	0.000000	
69.000000	0.000001	0.001387	1.000000	0.000000	0.000000	
70.000000	0.000001	0.003263	0.998951	0.000000	0.000000	
71.000000	0.000001	0.004055	0.997901	0.000000	0.000000	
72.000000	0.000001	0.001533	1.000000	0.000000	0.000000	
73.000000	0.000001	0.003550	0.998951	0.000000	0.000000	
74.000000	0.000001	0.000816	1.000000	0.000000	0.000000	
75.000000	0.000001	0.005269	0.997901	0.000000	0.000000	
76.000000	0.000001	0.001472	1.000000	0.000000	0.000000	
77.000000	0.000001	0.003070	0.998951	0.000000	0.000000	
78.000000	0.000001	0.002071	0.998951	0.000000	0.000000	
79.000000	0.000001	0.002579	0.998951	0.000000	0.000000	
80.000000	0.000001	0.001042	1.000000	0.000000	0.000000	
81.000000	0.000000	0.000871	1.000000	0.000000	0.000000	
82.000000	0.000000	0.001514	1.000000	0.000000	0.000000	
83.000000	0.000000	0.002286	0.998951	0.000000	0.000000	
84.000000	0.000000	0.000793	1.000000	0.000000	0.000000	
85.000000	0.000000	0.002696	0.998951	0.000000	0.000000	
86.000000	0.000000	0.000876	1.000000	0.000000	0.000000	
87.000000	0.000000	0.003454	0.997901	0.000000	0.000000	
88.000000	0.000000	0.002235	0.998951	0.000000	0.000000	
89.000000	0.000000	0.002958	1.000000	0.000000	0.000000	
90.000000	0.000000	0.001915	1.000000	0.000000	0.000000	
91.000000	0.000000	0.001075	1.000000	0.000000	0.000000	
92.000000	0.000000	0.002349	0.998951	0.000000	0.000000	
93.000000	0.000000	0.000711	1.000000	0.000000	0.000000	
94.000000	0.000000	0.001562	1.000000	0.000000	0.000000	
95.000000	0.000000	0.002233	0.998951	0.000000	0.000000	
96.000000	0.000000	0.001860	0.998951	0.000000	0.000000	
97.000000	0.000000	0.004269	0.997901	0.000000	0.000000	
98.000000	0.000000	0.002236	0.998951	0.000000	0.000000	
99.000000	0.000000	0.001043	1.000000	0.000000	0.000000	
100.000000	0.000000	0.002943	0.998951	0.000000	0.000000	
101.000000	0.000000	0.001589	0.998951	0.000000	0.000000	
102.000000	0.000000	0.002274	1.000000	0.000000	0.000000	
103.000000	0.000000	0.005202	0.996852	0.000000	0.000000	
104.000000	0.000000	0.001104	1.000000	0.000000	0.000000	
105.000000	0.000000	0.003552	0.998951	0.000000	0.000000	
