Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.001000	1.358996	0.522155	0.000000	0.000000	
2.000000	0.001000	0.614841	0.786273	0.000000	0.000000	
3.000000	0.001000	0.329376	0.882711	0.000000	0.000000	
4.000000	0.001000	0.215930	0.926151	0.000000	0.000000	
5.000000	0.001000	0.161931	0.944396	0.000000	0.000000	
6.000000	0.001000	0.135794	0.956560	0.000000	0.000000	
7.000000	0.001000	0.126000	0.962641	0.000000	0.000000	
8.000000	0.001000	0.064709	0.980017	0.000000	0.000000	
9.000000	0.001000	0.085048	0.969592	0.000000	0.000000	
10.000000	0.001000	0.064995	0.980017	0.000000	0.000000	
11.000000	0.001000	0.074285	0.973936	0.000000	0.000000	
12.000000	0.001000	0.067580	0.978280	0.000000	0.000000	
13.000000	0.001000	0.061229	0.979149	0.000000	0.000000	
14.000000	0.001000	0.075855	0.978280	0.000000	0.000000	
15.000000	0.001000	0.093552	0.971329	0.000000	0.000000	
16.000000	0.001000	0.031846	0.990443	0.000000	0.000000	
17.000000	0.001000	0.051387	0.986099	0.000000	0.000000	
18.000000	0.001000	0.034984	0.990443	0.000000	0.000000	
19.000000	0.001000	0.046930	0.985230	0.000000	0.000000	
20.000000	0.001000	0.055500	0.984361	0.000000	0.000000	
21.000000	0.000100	0.025900	0.992181	0.000000	0.000000	
22.000000	0.000100	0.015862	0.994787	0.000000	0.000000	
23.000000	0.000100	0.020239	0.993050	0.000000	0.000000	
24.000000	0.000100	0.009794	0.998262	0.000000	0.000000	
25.000000	0.000100	0.011376	0.995656	0.000000	0.000000	
26.000000	0.000100	0.014943	0.995656	0.000000	0.000000	
27.000000	0.000100	0.016759	0.996525	0.000000	0.000000	
28.000000	0.000100	0.004115	0.999131	0.000000	0.000000	
29.000000	0.000100	0.003547	1.000000	0.000000	0.000000	
30.000000	0.000100	0.008343	0.997394	0.000000	0.000000	
31.000000	0.000100	0.010678	0.996525	0.000000	0.000000	
32.000000	0.000100	0.006421	0.996525	0.000000	0.000000	
33.000000	0.000100	0.005452	0.999131	0.000000	0.000000	
34.000000	0.000100	0.006436	0.998262	0.000000	0.000000	
35.000000	0.000100	0.002772	1.000000	0.000000	0.000000	
36.000000	0.000100	0.010513	0.997394	0.000000	0.000000	
37.000000	0.000100	0.004102	0.999131	0.000000	0.000000	
38.000000	0.000100	0.003818	0.998262	0.000000	0.000000	
39.000000	0.000100	0.005896	0.998262	0.000000	0.000000	
40.000000	0.000100	0.003407	0.998262	0.000000	0.000000	
41.000000	0.000010	0.001753	1.000000	0.000000	0.000000	
